Modelo,Descripción,Talla,Color,Stock Actual
J0132,"JABON DE LA ABUELA 100 GR LECHE, AVENA Y MIEL",100 GR,"LECHE, AVENA Y MIEL",0
J0132,JABON DE LA ABUELA 100 GR LIMA LAVANDA,100 GR,LIMA LAVANDA,1
J0133,JABON ESPUMOSO ROSTRO 200 ML AMOR,200 ML,AMOR,3
J0133,JABON ESPUMOSO ROSTRO 50 ML AMOR,50 ML,AMOR,1
J0133,JABON ESPUMOSO ROSTRO 200 ML BAMBOO,200 ML,BAMBOO,2
J0133,JABON ESPUMOSO ROSTRO 50 ML BAMBOO,50 ML,BAMBOO,1
J0133,JABON ESPUMOSO ROSTRO 200 ML ENERGÍA,200 ML,ENERGÍA,3
J0133,JABON ESPUMOSO ROSTRO 50 ML ENERGÍA,50 ML,ENERGÍA,1
J0133,JABON ESPUMOSO ROSTRO 200 ML HIERBA LUISA,200 ML,HIERBA LUISA,5
J0133,JABON ESPUMOSO ROSTRO 50 ML HIERBA LUISA,50 ML,HIERBA LUISA,1
J0133,JABON ESPUMOSO ROSTRO 200 ML TE VERDE,200 ML,TE VERDE,0
J0133,JABON ESPUMOSO ROSTRO 50 ML TE VERDE,50 ML,TE VERDE,2
J0134,JABON GLICERINA - TAJADA,.,.,0
J0139,JABON HERBAL 180 GR ASTRINGENTE,180 GR,ASTRINGENTE,10
J0139,JABON HERBAL 180 GR EXFOLIANTE,180 GR,EXFOLIANTE,8
J0139,JABON HERBAL 180 GR HUMECTANTE,180 GR,HUMECTANTE,6
J0139,JABON HERBAL 180 GR RUDA,180 GR,RUDA,5
J0139,JABON HERBAL 180 GR TONIFICANTE,180 GR,TONIFICANTE,9
J0158,JABON OLIVA 100 GR ALMENDRAS,100 GR,ALMENDRAS,1
J0158,JABON OLIVA 100 GR CHOCOLATE,100 GR,CHOCOLATE,1
J0158,JABON OLIVA 100 GR COCA MENTA,100 GR,COCA MENTA,1
J0158,JABON OLIVA 100 GR COCO,100 GR,COCO,1
J0158,JABON OLIVA 100 GR LAVANDA,100 GR,LAVANDA,2
J0158,JABON OLIVA 100 GR MANZANILLA,100 GR,MANZANILLA,0
J0164,LOCION PARA MANOS Y CUERPO 50 ML CHIRIMOYA,50 ML,CHIRIMOYA,0
J0164,LOCION PARA MANOS Y CUERPO 50 ML HIERBA LUISA,50 ML,HIERBA LUISA,0
J0164,LOCION PARA MANOS Y CUERPO 50 ML MENTA,50 ML,MENTA,0
J0164,LOCION PARA MANOS Y CUERPO 50 ML MUÑA,50 ML,MUÑA,0
J0164,LOCION PARA MANOS Y CUERPO 50 ML PALO SANTO,50 ML,PALO SANTO,0
J0166,SALES EN BALA 80 GR FRUTAS TROPICALES,80 GR,FRUTAS TROPICALES,2
J0166,SALES EN BALA 80 GR HIERBA LUISA,80 GR,HIERBA LUISA,2
J0166,"SALES EN BALA 80 GR LECHE, AVENA Y MIEL",80 GR,"LECHE, AVENA Y MIEL",1
J0166,SALES EN BALA 80 GR MANZANILLA,80 GR,MANZANILLA,2
J0166,SALES EN BALA 80 GR ROSAS,80 GR,ROSAS,0
J0170,SHAMPOO X LT 1000 GR COCO,1000 GR,COCO,0
J0170,SHAMPOO X LT 1000 GR SERENIDAD,1000 GR,SERENIDAD,0
J0171,SHAMPOO X LT 1000 GR FELICIDAD,1000 GR,FELICIDAD,0
J0187,KIT ALMOHADILLA LAVANDA- MANZANILLA,.,LAVANDA- MANZANILLA,2
J0188,KIT BARRILITO,.,.,2
J0189,KIT BOTANICO,.,.,0
J0190,KIT BURBUJA,.,.,0
J0191,KIT COCO,.,.,1
J0192,KIT COFRE DE ALMENDRAS,.,.,3
J0194,KIT HIERBA LUISA,.,.,0
J0197,KIT FRESH VERBENA,.,.,0
J0199,KIT TETERA,.,.,3
J0200,KIT TIARE,.,.,0
J0202,KIT VELA BOTÁNICA,.,.,1
J0203,KIT ZEN AMOR,.,AMOR,0
J0203,KIT ZEN ARMONÍA,.,ARMONÍA,0
J0203,KIT ZEN ENERGÍA,.,ENERGÍA,0
J0203,KIT ZEN FELICIDAD,.,FELICIDAD,0
J0203,KIT ZEN SERENIDAD,.,SERENIDAD,0
J0203,KIT ZEN TRANQ.,.,TRANQ.,0
J0205,JABON DE LA ABUELA CAJA X 3 UNIDADES,.,.,2
J0206,JABON OLIVA CAJA X 3 UNIDADES,.,.,2
J0207,SALES EN BALA CAJA X 4 UNIDADES,.,.,0
J0208,PORTA POTPOURRI C/ POTPOURRI,.,.,0
J0211,SPRAY AROMATIZADOR ALCOHOL70° 550 ML EUCALIPTO,550 ML,EUCALIPTO,0
J0212,PACK X 2 JABON EXTRA CREMOSO 180 GR COCO,180 GR,COCO,3
J0212,PACK X 2 JABON EXTRA CREMOSO 180 GR ORQUIDEA BLANCA,180 GR,ORQUIDEA BLANCA,0
J0214,SHAMPOO CORPORATIVO 1.3 LITROS ARMONÍA,1.3 LITROS,ARMONÍA,0
J0214,SHAMPOO CORPORATIVO 1.3 LITROS TRANQ.,1.3 LITROS,TRANQ.,0
J0217,CONDITIONER X1 LT 1000 ML TRANQ.,1000 ML,TRANQ.,0
J0219,KIT TIARE +JOJOBA,.,.,-1
