F. Emision,Descripción,category,subcategory,volume,weight,fragance,other,Stock Actual,P. Unitario
01/11/2023,ESENCIA 10 ML MIGRA FREE,ACEITES ESENCIALES,,10 ML,,MIGRA FREE,,7,79.9
01/11/2023,ESENCIA 10 ML RESPIRO Y SUSPIRO,ACEITES ESENCIALES,,10 ML,,RESPIRO Y SUSPIRO,,9,79.9
01/11/2023,ESENCIA 10 ML STRESS FREE,ACEITES ESENCIALES,,10 ML,,STRESS FREE,,-1,79.9
01/11/2023,KIT JARDIN DEL ZEN,KITS,,,,,,1,65
01/11/2023,ACEITE NUTRITIVO 34 ML ALMENDRAS,SKIN CARE,ACEITES NUTRITIVOS,34 ML,,ALMENDRAS,,1,22.9
01/11/2023,ACEITE NUTRITIVO 120 ML ALMENDRAS,SKIN CARE,ACEITES NUTRITIVOS,120 ML,,ALMENDRAS,,4,49.9
01/11/2023,ACEITE NUTRITIVO 34 ML COCO,SKIN CARE,ACEITES NUTRITIVOS,34 ML,,COCO,,2,22.9
01/11/2023,ACEITE NUTRITIVO 200 GR COCO,SKIN CARE,ACEITES NUTRITIVOS,200 GR,,COCO,,2,62
01/11/2023,ACEITE NUTRITIVO 34 ML TIARE,SKIN CARE,ACEITES NUTRITIVOS,34 ML,,TIARE,,0,22.9
01/11/2023,ACEITE NUTRITIVO 120 ML TIARE,SKIN CARE,ACEITES NUTRITIVOS,120 ML,,TIARE,,0,58.9
01/11/2023,ACEITE NUTRITIVO 120 ML TIARE+JOJOBA,SKIN CARE,ACEITES NUTRITIVOS,120 ML,,TIARE+JOJOBA,,0,72.9
01/11/2023,ACEITE PARA MASAJES 34 ML AMOR,SKIN CARE,ACEITES PARA MASAJES,34 ML,,AMOR,,2,22.9
01/11/2023,ACEITE PARA MASAJES 240 ML AMOR,SKIN CARE,ACEITES PARA MASAJES,240 ML,,AMOR,,4,69.9
01/11/2023,ACEITE PARA MASAJES 34 ML ARMONÍA,SKIN CARE,ACEITES PARA MASAJES,34 ML,,ARMONÍA,,3,22.9
01/11/2023,ACEITE PARA MASAJES 240 ML ARMONÍA,SKIN CARE,ACEITES PARA MASAJES,240 ML,,ARMONÍA,,2,69.9
15/11/2023,ACEITE PARA MASAJES 34 ML ENERGÍA,SKIN CARE,ACEITES PARA MASAJES,34 ML,,ENERGÍA,,3,22.9
01/11/2023,ACEITE PARA MASAJES 240 ML ENERGÍA,SKIN CARE,ACEITES PARA MASAJES,240 ML,,ENERGÍA,,4,69.9
01/11/2023,ACEITE PARA MASAJES 34 ML FELICIDAD,SKIN CARE,ACEITES PARA MASAJES,34 ML,,FELICIDAD,,1,22.9
01/11/2023,ACEITE PARA MASAJES 240 ML FELICIDAD,SKIN CARE,ACEITES PARA MASAJES,240 ML,,FELICIDAD,,0,69.9
01/11/2023,ACEITE PARA MASAJES 34 ML SERENIDAD,SKIN CARE,ACEITES PARA MASAJES,34 ML,,SERENIDAD,,3,19.47
01/11/2023,ACEITE PARA MASAJES 240 ML SERENIDAD,SKIN CARE,ACEITES PARA MASAJES,240 ML,,SERENIDAD,,2,59.42
03/11/2023,ACEITE PARA MASAJES 34 ML TRANQ.,SKIN CARE,ACEITES PARA MASAJES,34 ML,,TRANQUILIDAD,,2,22.9
01/11/2023,ACEITE PARA MASAJES 240 ML TRANQ.,SKIN CARE,ACEITES PARA MASAJES,240 ML,,TRANQUILIDAD,,1,69.9
01/11/2023,BURBUJAS DE BAÑO 173 ML AMOR,SKIN CARE,BURBUJAS,173 ML,,AMOR,,4,29.9
01/11/2023,BURBUJAS DE BAÑO 520 ML AMOR,SKIN CARE,BURBUJAS,520 ML,,AMOR,,2,59.9
01/11/2023,BURBUJAS DE BAÑO 173 ML ARMONÍA,SKIN CARE,BURBUJAS,173 ML,,ARMONÍA,,0,29.9
01/11/2023,BURBUJAS DE BAÑO 520 ML ARMONÍA,SKIN CARE,BURBUJAS,520 ML,,ARMONÍA,,1,59.9
09/11/2023,BURBUJAS DE BAÑO 173 ML ENERGÍA,SKIN CARE,BURBUJAS,173 ML,,ENERGÍA,,3,29.9
01/11/2023,BURBUJAS DE BAÑO 520 ML ENERGÍA,SKIN CARE,BURBUJAS,520 ML,,ENERGÍA,,5,59.9
01/11/2023,BURBUJAS DE BAÑO 173 ML FELICIDAD,SKIN CARE,BURBUJAS,173 ML,,FELICIDAD,,3,29.9
01/11/2023,BURBUJAS DE BAÑO 520 ML FELICIDAD,SKIN CARE,BURBUJAS,520 ML,,FELICIDAD,,3,59.9
17/02/2024,BURBUJAS DE BAÑO 34 ML SERENIDAD,SKIN CARE,BURBUJAS,34 ML,,SERENIDAD,,0,19.02
09/11/2023,BURBUJAS DE BAÑO 173 ML SERENIDAD,SKIN CARE,BURBUJAS,173 ML,,SERENIDAD,,3,25.42
